Text,Weight,Pos Tag
Plus,6,CC
One,49,CD
Two,9,CD
Five,4,CD
Three,3,CD
Another,19,DT
Those,14,DT
Both,8,DT
Each,5,DT
Out,76,IN
Up,70,IN
Over,20,IN
Through,17,IN
Down,16,IN
Before,16,IN
During,15,IN
Though,14,IN
Despite,13,IN
Found,12,IN
Find,8,IN
Above,8,IN
Flown,6,IN
Around,5,IN
Boss,4,IN
Although,4,IN
Under,3,IN
Until,3,IN
Laugh,3,IN
Tough,3,IN
Rough,2,IN
Good,88,JJ
Much,81,JJ
Happy,30,JJ
Last,29,JJ
Next,25,JJ
Free,24,JJ
Sure,23,JJ
Final,22,JJ
Big,21,JJ
Excited,19,JJ
Safe,15,JJ
Fantastic,15,JJ
Easy,14,JJ
Many,14,JJ
Arrive,12,JJ
Wish,12,JJ
Few,12,JJ
Top,10,JJ
High,9,JJ
Little,9,JJ
Live,9,JJ
Busy,9,JJ
Warm,9,JJ
Such,8,JJ
Direct,8,JJ
Incredible,8,JJ
Total,8,JJ
Professional,8,JJ
American,8,JJ
Ready,7,JJ
Exceptional,7,JJ
Commercial,6,JJ
Second,6,JJ
Fabulous,5,JJ
Complete,5,JJ
Extra,5,JJ
Usual,5,JJ
Whole,4,JJ
Due,4,JJ
Global,4,JJ
Special,4,JJ
Anniversary,4,JJ
Velourlive,4,JJ
Real,4,JJ
Interested,3,JJ
Music,3,JJ
Strong,3,JJ
Short,3,JJ
Present,3,JJ
Angry,3,JJ
Several,3,JJ
Positive,3,JJ
Courteous,3,JJ
Terrible,3,JJ
Unbelievable,3,JJ
Hilarious,3,JJ
Wrong,3,JJ
Complimentary,3,JJ
Admiral,3,JJ
Possible,3,JJ
Graphic,2,JJ
Horrible,2,JJ
Private,2,JJ
Basic,2,JJ
Phenomenal,2,JJ
Worth,2,JJ
Satisfied,2,JJ
Battierccipuppy,2,JJ
Longer,3,JJR
Easier,3,JJR
Happier,2,JJR
Best,94,JJS
Nicest,3,JJS
Greatest,3,JJS
Friendliest,2,JJS
Straight,3,MD
Southwestair,467,NN
Jetblue,464,NN
Unite,377,NN
Ðÿ,293,NN
Americanair,251,NN
Usairway,202,NN
Great,182,NN
Fly,119,NN
Help,115,NN
Guy,102,NN
Time,94,NN
Customer,89,NN
Amp,82,NN
Airline,79,NN
Crew,75,NN
Today,68,NN
Work,61,NN
Appreciate,56,NN
Gate,55,NN
Plane,53,NN
Home,51,NN
Wait,44,NN
Travel,42,NN
Way,42,NN
Nice,41,NN
Agent,40,NN
Delay,40,NN
