Text,Size,Color,Angle,Font,Repeat,URL
United,2195,Random,Random,Random,Yes,
Usairways,1846,Random,Random,Random,Yes,
Americanair,1602,Random,Random,Random,Yes,
Hour,975,Random,Random,Random,Yes,
Southwestair,947,Random,Random,Random,Yes,
Jetblue,842,Random,Random,Random,Yes,
Delay,759,Random,Random,Random,Yes,
Cancelled,748,Random,Random,Random,Yes,
Now,689,Random,Random,Random,Yes,
Time,635,Random,Random,Random,Yes,
Hold,583,Random,Random,Random,Yes,
Wait,583,Random,Random,Random,Yes,
Help,575,Random,Random,Random,Yes,
Customs,566,Random,Random,Random,Yes,
Service,563,Random,Random,Random,Yes,
Call,559,Random,Random,Random,Yes,
Bag,547,Random,Random,Random,Yes,
Amp,503,Random,Random,Random,Yes,
Plane,475,Random,Random,Random,Yes,
Co,457,Random,Random,Random,Yes,
Up,443,Random,Random,Random,Yes,
Hr,411,Random,Random,Random,Yes,
Still,411,Random,Random,Random,Yes,
Day,398,Random,Random,Random,Yes,
Out,379,Random,Random,Random,Yes,
Need,373,Random,Random,Random,Yes,
Flightled,371,Random,Random,Random,Yes,
Min,356,Random,Random,Random,Yes,
Go,347,Random,Random,Random,Yes,
Gate,342,Random,Random,Random,Yes,
One,333,Random,Random,Random,Yes,
Seat,324,Random,Random,Random,Yes,
Fly,324,Random,Random,Random,Yes,
Late,315,Random,Random,Random,Yes,
Minute,311,Random,Random,Random,Yes,
Back,309,Random,Random,Random,Yes,
Phone,299,Random,Random,Random,Yes,
Thank,299,Random,Random,Random,Yes,
Try,291,Random,Random,Random,Yes,
Miss,280,Random,Random,Random,Yes,
Over,279,Random,Random,Random,Yes,
Change,278,Random,Random,Random,Yes,
Airline,273,Random,Random,Random,Yes,
Agent,270,Random,Random,Random,Yes,
Book,268,Random,Random,Random,Yes,
Check,264,Random,Random,Random,Yes,
Make,259,Random,Random,Random,Yes,
Again,254,Random,Random,Random,Yes,
Please,253,Random,Random,Random,Yes,
More,230,Random,Random,Random,Yes,
Work,224,Random,Random,Random,Yes,
Take,216,Random,Random,Random,Yes,
Board,213,Random,Random,Random,Yes,
Airport,209,Random,Random,Random,Yes,
Sit,208,Random,Random,Random,Yes,
Today,206,Random,Random,Random,Yes,
Even,203,Random,Random,Random,Yes,
Never,202,Random,Random,Random,Yes,
Luggage,202,Random,Random,Random,Yes,
Told,198,Random,Random,Random,Yes,
Ticket,198,Random,Random,Random,Yes,
Want,196,Random,Random,Random,Yes,
Ðÿ,194,Random,Random,Random,Yes,
Know,188,Random,Random,Random,Yes,
Last,186,Random,Random,Random,Yes,
Connect,185,Random,Random,Random,Yes,
People,185,Random,Random,Random,Yes,
Rebook,183,Random,Random,Random,Yes,
Really,182,Random,Random,Random,Yes,
Issue,181,Random,Random,Random,Yes,
Worst,177,Random,Random,Random,Yes,
Lost,176,Random,Random,Random,Yes,
Another,174,Random,Random,Random,Yes,
Problem,173,Random,Random,Random,Yes,
Travel,171,Random,Random,Random,Yes,
Guy,170,Random,Random,Random,Yes,
Here,170,Random,Random,Random,Yes,
Gets,168,Random,Random,Random,Yes,
Weather,167,Random,Random,Random,Yes,
Way,166,Random,Random,Random,Yes,
Home,164,Random,Random,Random,Yes,
Aa,164,Random,Random,Random,Yes,
Due,162,Random,Random,Random,Yes,
Line,160,Random,Random,Random,Yes,
Virginamerica,151,Random,Random,Random,Yes,
Ua,151,Random,Random,Random,Yes,
Use,150,Random,Random,Random,Yes,
Reserv,148,Random,Random,Random,Yes,
Someone,147,Random,Random,Random,Yes,
Give,145,Random,Random,Random,Yes,
Baggage,142,Random,Random,Random,Yes,
Email,141,Random,Random,Random,Yes,
Pm,138,Random,Random,Random,Yes,
Pay,137,Random,Random,Random,Yes,
Online,137,Random,Random,Random,Yes,
Tell,136,Random,Random,Random,Yes,
Answer,135,Random,Random,Random,Yes,
Very,135,Random,Random,Random,Yes,
Tomorrow,133,Random,Random,Random,Yes,
Being,133,Random,Random,Random,Yes,
Flightr,131,Random,Random,Random,Yes,
Through,130,Random,Random,Random,Yes,
Arrive,130,Random,Random,Random,Yes,
First,129,Random,Random,Random,Yes,
Passenger,129,Random,Random,Random,Yes,
Before,127,Random,Random,Random,Yes,
Look,126,Random,Random,Random,Yes,
Crew,126,Random,Random,Random,Yes,
Two,125,Random,Random,Random,Yes,
Leave,124,Random,Random,Random,Yes,
Experience,123,Random,Random,Random,Yes,
Stuck,123,Random,Random,Random,Yes,
Bad,122,Random,Random,Random,Yes,
Trip,122,Random,Random,Random,Yes,
Number,122,Random,Random,Random,Yes,
Fail,117,Random,Random,Random,Yes,
Next,116,Random,Random,Random,Yes,
New,116,Random,Random,Random,Yes,
Flt,116,Random,Random,Random,Yes,
Good,116,Random,Random,Random,Yes,
Frustrated,114,Random,Random,Random,Yes,
Response,113,Random,Random,Random,Yes,
Week,112,Random,Random,Random,Yes,
Land,112,Random,Random,Random,Yes,
Hotel,112,Random,Random,Random,Yes,
Right,110,Random,Random,Random,Yes,
Rude,110,Random,Random,Random,Yes,
Update,109,Random,Random,Random,Yes,
Jfk,108,Random,Random,Random,Yes,
