Text,Size,Color,Angle,Font,Repeat,URL
Southwestair,467,Random,Random,Random,Yes,
Jetblue,464,Random,Random,Random,Yes,
Unite,377,Random,Random,Random,Yes,
Ðÿ,293,Random,Random,Random,Yes,
Americanair,251,Random,Random,Random,Yes,
Usairway,202,Random,Random,Random,Yes,
Great,182,Random,Random,Random,Yes,
Love,139,Random,Random,Random,Yes,
Virginamerica,129,Random,Random,Random,Yes,
Service,126,Random,Random,Random,Yes,
Fly,119,Random,Random,Random,Yes,
Help,115,Random,Random,Random,Yes,
Guy,102,Random,Random,Random,Yes,
Time,94,Random,Random,Random,Yes,
Best,94,Random,Random,Random,Yes,
Customer,89,Random,Random,Random,Yes,
Good,88,Random,Random,Random,Yes,
Awesome,87,Random,Random,Random,Yes,
Amp,82,Random,Random,Random,Yes,
Much,81,Random,Random,Random,Yes,
Airline,79,Random,Random,Random,Yes,
Make,78,Random,Random,Random,Yes,
Out,76,Random,Random,Random,Yes,
Crew,75,Random,Random,Random,Yes,
Amazed,71,Random,Random,Random,Yes,
Up,70,Random,Random,Random,Yes,
Now,69,Random,Random,Random,Yes,
Today,68,Random,Random,Random,Yes,
Work,61,Random,Random,Random,Yes,
Back,56,Random,Random,Random,Yes,
Appreciate,56,Random,Random,Random,Yes,
Gate,55,Random,Random,Random,Yes,
New,54,Random,Random,Random,Yes,
Know,53,Random,Random,Random,Yes,
Plane,53,Random,Random,Random,Yes,
Day,53,Random,Random,Random,Yes,
See,52,Random,Random,Random,Yes,
Home,51,Random,Random,Random,Yes,
Please,49,Random,Random,Random,Yes,
One,49,Random,Random,Random,Yes,
Made,49,Random,Random,Random,Yes,
Very,48,Random,Random,Random,Yes,
Look,46,Random,Random,Random,Yes,
Go,45,Random,Random,Random,Yes,
Wait,44,Random,Random,Random,Yes,
Yes,42,Random,Random,Random,Yes,
Take,42,Random,Random,Random,Yes,
Travel,42,Random,Random,Random,Yes,
First,42,Random,Random,Random,Yes,
Way,42,Random,Random,Random,Yes,
Nice,41,Random,Random,Random,Yes,
Agent,40,Random,Random,Random,Yes,
Delay,40,Random,Random,Random,Yes,
Again,39,Random,Random,Random,Yes,
Really,39,Random,Random,Random,Yes,
Follow,39,Random,Random,Random,Yes,
Airport,38,Random,Random,Random,Yes,
Seat,38,Random,Random,Random,Yes,
Well,37,Random,Random,Random,Yes,
Trip,36,Random,Random,Random,Yes,
Rock,36,Random,Random,Random,Yes,
Still,36,Random,Random,Random,Yes,
Experience,35,Random,Random,Random,Yes,
Book,35,Random,Random,Random,Yes,
Response,35,Random,Random,Random,Yes,
Keep,35,Random,Random,Random,Yes,
Attended,35,Random,Random,Random,Yes,
More,34,Random,Random,Random,Yes,
Tonight,34,Random,Random,Random,Yes,
