"weight";"word";"color";"url"
"2004";"united";"";""
"1925";"flight";"";""
"1755";"USAirways";"";""
"1571";"AmericanAir";"";""
"923";"SouthwestAir";"";""
"775";"get";"";""
"769";"JetBlue";"";""
"742";"Cancelled";"";""
"574";"hours";"";""
"566";"now";"";""
"536";"hold";"";""
"517";"service";"";""
"476";"Flight";"";""
"474";"amp";"";""
"473";"time";"";""
"404";"plane";"";""
"394";"customer";"";""
"392";"help";"";""
"392";"just";"";""
"372";"delayed";"";""
"355";"can";"";""
"352";"Flightled";"";""
"348";"call";"";""
"340";"hour";"";""
"327";"still";"";""
"319";"bag";"";""
"314";"Late";"";""
"304";"gate";"";""
"295";"back";"";""
"295";"flights";"";""
"295";"one";"";""
"277";"waiting";"";""
"263";"will";"";""
"262";"phone";"";""
"257";"minutes";"";""
"240";"need";"";""
"228";"wait";"";""
"224";"delay";"";""
"219";"like";"";""
"214";"hrs";"";""
"211";"trying";"";""
"208";"got";"";""
"199";"bags";"";""
"196";"airline";"";""
"193";"luggage";"";""
"188";"told";"";""
"186";"even";"";""
"186";"fly";"";""
"186";"today";"";""
"184";"going";"";""
"181";"days";"";""
"179";"day";"";""
"177";"change";"";""
"177";"people";"";""
"170";"seat";"";""
"170";"United";"";""
"169";"airport";"";""
"167";"last";"";""
"167";"min";"";""
"163";"lost";"";""
"163";"want";"";""
"162";"Flighted";"";""
"162";"ðŸ";"";""
"161";"home";"";""
"160";"due";"";""
"160";"know";"";""
"158";"agent";"";""
"157";"make";"";""
"154";"another";"";""
"153";"take";"";""
"152";"weather";"";""
"149";"never";"";""
"145";"sitting";"";""
"142";"check";"";""
"140";"VirginAmerica";"";""
"138";"getting";"";""
"138";"guys";"";""
"138";"please";"";""
"138";"way";"";""
"136";"someone";"";""
"134";"really";"";""
"133";"work";"";""
"132";"ever";"";""
"131";"since";"";""
"129";"customers";"";""
"129";"line";"";""
"129";"tomorrow";"";""
"128";"online";"";""
"127";"let";"";""
"127";"thanks";"";""
"127";"ticket";"";""
"126";"baggage";"";""
"126";"times";"";""
"125";"Flightr";"";""
"124";"seats";"";""
"120";"flying";"";""
"120";"worst";"";""
"117";"experience";"";""
"117";"mins";"";""
"114";"two";"";""
"112";"crew";"";""
"110";"email";"";""
"107";"said";"";""
"106";"next";"";""
"106";"Thanks";"";""
"105";"miss";"";""
"104";"first";"";""
"104";"number";"";""
"104";"stuck";"";""
"104";"travel";"";""
"103";"Now";"";""
"103";"right";"";""
"103";"says";"";""
"102";"trip";"";""
"100";"boarding";"";""
"100";"made";"";""
"100";"passengers";"";""
"99";"bad";"";""
"99";"book";"";""
"99";"Please";"";""
"98";"hotel";"";""
"96";"give";"";""
"96";"long";"";""
"95";"already";"";""
"95";"find";"";""
"94";"left";"";""
"94";"see";"";""
"94";"website";"";""
"93";"agents";"";""
"93";"Just";"";""
"93";"nothing";"";""
"93";"pay";"";""
"93";"response";"";""
"92";"good";"";""
"91";"Can";"";""
"91";"new";"";""
"90";"put";"";""
"90";"tried";"";""
"89";"ago";"";""
"89";"miles";"";""
"89";"staff";"";""
"88";"night";"";""
"88";"rude";"";""
"88";"system";"";""
"87";"called";"";""
"87";"rebook";"";""
"87";"sure";"";""
"85";"connection";"";""
"85";"delays";"";""
"84";"JFK";"";""
"84";"yet";"";""
"83";"booked";"";""
"83";"issue";"";""
"83";"issues";"";""
"83";"rebooked";"";""
"83";"refund";"";""
"82";"care";"";""
"82";"use";"";""
"81";"reservation";"";""
"80";"better";"";""
"78";"missed";"";""
"76";"extra";"";""
"76";"think";"";""
"76";"usairways";"";""
"75";"answer";"";""
"75";"info";"";""
"72";"leave";"";""
"72";"morning";"";""
"72";"tell";"";""
"72";"without";"";""
"71";"fail";"";""
"71";"flt";"";""
"71";"Help";"";""
"70";"anything";"";""
"70";"tonight";"";""
"69";"much";"";""
"69";"working";"";""
"68";"anyone";"";""
"68";"keep";"";""
"68";"missing";"";""
"67";"board";"";""
"67";"Problems";"";""
"67";"say";"";""
"66";"Booking";"";""
"66";"fix";"";""
"66";"speak";"";""
"65";"almost";"";""
"65";"disappointed";"";""
"65";"paid";"";""
"65";"supposed";"";""
"64";"credit";"";""
"64";"DFW";"";""
"64";"person";"";""
"64";"Still";"";""
"63";"hung";"";""
"63";"rep";"";""
"62";"1st";"";""
"62";"checked";"";""
"62";"ridiculous";"";""
"62";"stranded";"";""
"62";"well";"";""
"61";"update";"";""
"60";"problem";"";""
"60";"understand";"";""
"59";"voucher";"";""
"59";"yes";"";""
"58";"business";"";""
"58";"done";"";""
"58";"yesterday";"";""
"57";"claim";"";""
"57";"sent";"";""
"57";"week";"";""
"56";"available";"";""
"56";"Delta";"";""
"56";"departure";"";""
"56";"free";"";""
"55";"making";"";""
"55";"terrible";"";""
"55";"wifi";"";""
"54";"jetblue";"";""
"54";"least";"";""
"54";"took";"";""
"53";"every";"";""
"53";"frustrated";"";""
"53";"ground";"";""
"53";"mechanical";"";""
"53";"money";"";""
"52";"calling";"";""
"52";"connecting";"";""
"52";"full";"";""
"52";"half";"";""
"52";"PHL";"";""
"52";"talk";"";""
"52";"tickets";"";""
"51";"airlines";"";""
"51";"different";"";""
"51";"early";"";""
"51";"landed";"";""
"51";"status";"";""
"51";"unacceptable";"";""
"50";"able";"";""
"50";"broken";"";""
"50";"enough";"";""
"50";"great";"";""
"50";"past";"";""
"50";"poor";"";""
"50";"site";"";""
"50";"wrong";"";""
"49";"DCA";"";""
"49";"hope";"";""
"49";"LAX";"";""
"49";"open";"";""
"49";"pilot";"";""
"48";"app";"";""
"48";"come";"";""
"48";"finally";"";""
"48";"many";"";""
"48";"old";"";""
"48";"reason";"";""
"48";"sorry";"";""
"48";"try";"";""
"48";"vacation";"";""
"48";"weeks";"";""
"47";"also";"";""
"47";"gave";"";""
"47";"runway";"";""
"47";"sit";"";""
"47";"upgrade";"";""
"46";"air";"";""
"46";"attendant";"";""
"46";"charge";"";""
"46";"class";"";""
"46";"counting";"";""
"46";"planes";"";""
"46";"worse";"";""
"45";"fee";"";""
"45";"look";"";""
"45";"Need";"";""
"45";"received";"";""
"45";"though";"";""
"45";"via";"";""
"44";"changed";"";""
"44";"contact";"";""
"44";"waited";"";""
"43";"earlier";"";""
"43";"employees";"";""
"43";"instead";"";""
"43";"needs";"";""
"43";"saying";"";""
"42";"best";"";""
"42";"car";"";""
"42";"CLT";"";""
"42";"company";"";""
"42";"horrible";"";""
"42";"minute";"";""
"42";"nice";"";""
"42";"option";"";""
"42";"point";"";""
