"weight";"word";"color";"url"
"452";"SouthwestAir";"";""
"430";"JetBlue";"";""
"343";"united";"";""
"271";"flight";"";""
"239";"AmericanAir";"";""
"218";"Thanks";"";""
"214";"thanks";"";""
"193";"USAirways";"";""
"173";"Thank";"";""
"142";"great";"";""
"126";"thank";"";""
"122";"VirginAmerica";"";""
"119";"service";"";""
"95";"get";"";""
"94";"just";"";""
"87";"guys";"";""
"79";"customer";"";""
"78";"amp";"";""
"75";"will";"";""
"74";"love";"";""
"74";"much";"";""
"74";"time";"";""
"72";"best";"";""
"69";"good";"";""
"67";"today";"";""
"65";"crew";"";""
"63";"awesome";"";""
"62";"got";"";""
"61";"now";"";""
"57";"flying";"";""
"55";"amazing";"";""
"54";"airline";"";""
"54";"fly";"";""
"54";"help";"";""
"52";"back";"";""
"50";"flights";"";""
"48";"home";"";""
"45";"gate";"";""
"45";"know";"";""
"43";"can";"";""
"42";"made";"";""
"41";"day";"";""
"41";"plane";"";""
"40";"Flight";"";""
"40";"new";"";""
"39";"like";"";""
"38";"see";"";""
"37";"Great";"";""
"37";"one";"";""
"36";"first";"";""
"36";"Just";"";""
"35";"really";"";""
"35";"way";"";""
"34";"job";"";""
"33";"make";"";""
"33";"staff";"";""
"33";"trip";"";""
"32";"experience";"";""
"32";"wait";"";""
"32";"work";"";""
"30";"Cancelled";"";""
"30";"response";"";""
"30";"tonight";"";""
"29";"ever";"";""
"29";"team";"";""
"29";"travel";"";""
"28";"appreciate";"";""
"28";"last";"";""
"28";"Love";"";""
"27";"getting";"";""
"27";"still";"";""
"26";"always";"";""
"26";"better";"";""
"26";"helpful";"";""
"26";"well";"";""
"25";"nice";"";""
"25";"Southwest";"";""
"25";"yes";"";""
"24";"attendant";"";""
"24";"even";"";""
"24";"free";"";""
"23";"agent";"";""
"23";"take";"";""
"22";"airport";"";""
"22";"happy";"";""
"22";"next";"";""
"22";"please";"";""
"22";"right";"";""
"22";"sure";"";""
"22";"United";"";""
"22";"weather";"";""
"22";"year";"";""
"21";"making";"";""
"21";"Thx";"";""
"21";"âœˆï";"";""
"20";"forward";"";""
"20";"quick";"";""
"20";"seat";"";""
"19";"able";"";""
"19";"Awesome";"";""
"19";"hope";"";""
"19";"morning";"";""
"18";"airlines";"";""
"18";"bag";"";""
"18";"DestinationDragons";"";""
"18";"done";"";""
"18";"Late";"";""
"18";"phone";"";""
"18";"sent";"";""
"18";"wonderful";"";""
"17";"care";"";""
"17";"early";"";""
"17";"JFK";"";""
"17";"look";"";""
"17";"rock";"";""
"17";"tomorrow";"";""
"17";"worries";"";""
"16";"class";"";""
"16";"jetblue";"";""
"16";"people";"";""
"16";"taking";"";""
"16";"y'all";"";""
"15";"appreciated";"";""
"15";"boarding";"";""
"15";"call";"";""
"15";"excellent";"";""
"15";"follow";"";""
"15";"helping";"";""
"15";"Imaginedragons";"";""
"15";"Newark";"";""
"15";"night";"";""
"15";"Please";"";""
"15";"reply";"";""
"15";"soon";"";""
"15";"tweet";"";""
"15";"â€œ@JetBlue";"";""
"14";"agents";"";""
"14";"air";"";""
"14";"bad";"";""
"14";"big";"";""
"14";"delay";"";""
"14";"Denver";"";""
"14";"finally";"";""
"14";"fleek";"";""
"14";"Good";"";""
"14";"hear";"";""
"14";"long";"";""
"14";"makes";"";""
"14";"snow";"";""
"14";"SWA";"";""
"14";"though";"";""
"14";"ticket";"";""
"14";"week";"";""
"14";"â¤ï";"";""
"13";"BEST";"";""
"13";"board";"";""
"13";"change";"";""
"13";"check";"";""
"13";"cool";"";""
"13";"delayed";"";""
"13";"excited";"";""
"13";"family";"";""
"13";"fleet's";"";""
"13";"going";"";""
"13";"hour";"";""
"13";"need";"";""
"13";"never";"";""
"13";"SFO";"";""
"13";"THANK";"";""
"13";"think";"";""
"13";"want";"";""
"13";"working";"";""
"13";"Yes";"";""
"13";"âœŒï";"";""
"12";"already";"";""
"12";"baggage";"";""
"12";"Booking";"";""
"12";"earlier";"";""
"12";"employees";"";""
"12";"far";"";""
"12";"keep";"";""
"12";"Keep";"";""
"12";"landing";"";""
"12";"LAX";"";""
"12";"Looking";"";""
"12";"lt;3";"";""
"12";"thx";"";""
"12";"tickets";"";""
"12";"use";"";""
"11";"1st";"";""
"11";"Appreciate";"";""
"11";"bags";"";""
"11";"book";"";""
"11";"DCA";"";""
"11";"deserves";"";""
"11";"easy";"";""
"11";"every";"";""
"11";"fantastic";"";""
"11";"Got";"";""
"11";"ground";"";""
"11";"issue";"";""
"11";"Kudos";"";""
"11";"many";"";""
"11";"Nice";"";""
"11";"PHL";"";""
"11";"San";"";""
"11";"Vegas";"";""
"11";"voucher";"";""
"11";"wanted";"";""
"11";"Well";"";""
"10";"Airport";"";""
"10";"another";"";""
"10";"app";"";""
"10";"Austin";"";""
"10";"away";"";""
"10";"Boston";"";""
"10";"changed";"";""
"10";"Dallas";"";""
"10";"despite";"";""
"10";"favorite";"";""
"10";"flt";"";""
"10";"FOLLOW";"";""
"10";"fun";"";""
"10";"guy";"";""
"10";"minutes";"";""
"10";"New";"";""
"10";"pilots";"";""
"10";"problem";"";""
"10";"say";"";""
"10";"seats";"";""
"10";"things";"";""
"10";"times";"";""
"10";"Twitter";"";""
"10";"upgrade";"";""
"10";"weeks";"";""
"10";"welcome";"";""
"10";"wifi";"";""
"9";"Another";"";""
"9";"attendants";"";""
"9";"Best";"";""
"9";"beyond";"";""
"9";"booked";"";""
"9";"BOS";"";""
"9";"CLT";"";""
"9";"connection";"";""
"9";"delays";"";""
"9";"everyone";"";""
"9";"everything";"";""
"9";"Flightled";"";""
"9";"found";"";""
"9";"Gate";"";""
"9";"give";"";""
"9";"Glad";"";""
"9";"helped";"";""
"9";"huge";"";""
"9";"info";"";""
"9";"LAS";"";""
"9";"left";"";""
"9";"let";"";""
"9";"little";"";""
"9";"lost";"";""
"9";"miss";"";""
"9";"name";"";""
"9";"number";"";""
"9";"NYC";"";""
"9";"outstanding";"";""
"9";"pilot";"";""
"9";"planes";"";""
"9";"pretty";"";""
"9";"Problems";"";""
"9";"raise";"";""
"9";"said";"";""
"9";"show";"";""
"9";"since";"";""
"9";"start";"";""
"9";"trying";"";""
"9";"update";"";""
"9";"view";"";""
"9";"waiting";"";""
"9";"Will";"";""
"9";"wish";"";""
"9";"â€œ@united";"";""
"8";"AMAZING";"";""
"8";"American";"";""
"8";"beautiful";"";""
"8";"blue";"";""
"8";"called";"";""
"8";"crews";"";""
"8";"customerservice";"";""
"8";"date";"";""
"8";"definitely";"";""
"8";"drink";"";""
"8";"fan";"";""
"8";"fixed";"";""
"8";"flew";"";""
"8";"FortuneMagazine";"";""
"8";"friends";"";""
"8";"gave";"";""
"8";"glad";"";""
"8";"haha";"";""
"8";"hard";"";""
"8";"hot";"";""
"8";"keeping";"";""
"8";"kind";"";""
"8";"life";"";""
"8";"looks";"";""
"8";"lot";"";""
"8";"LOVE";"";""
"8";"lovely";"";""
"8";"pass";"";""
"8";"perfect";"";""
"8";"rep";"";""
"8";"safely";"";""
"8";"See";"";""
"8";"smooth";"";""
"8";"sorry";"";""
"8";"southwestair";"";""
"8";"Still";"";""
"8";"super";"";""
"8";"taken";"";""
"8";"thing";"";""
"8";"thru";"";""
"8";"top";"";""
"8";"two";"";""
"8";"vacation";"";""
"8";"warm";"";""
"7";"actually";"";""
"7";"ago";"";""
"7";"also";"";""
"7";"Always";"";""
"7";"birthday";"";""
"7";"business";"";""
"7";"Can";"";""
"7";"checking";"";""
"7";"Chicago";"";""
"7";"coming";"";""
"7";"course";"";""
"7";"days";"";""
"7";"DFW";"";""
"7";"direct";"";""
"7";"enjoy";"";""
"7";"exceptional";"";""
"7";"fine";"";""
"7";"FLL";"";""
"7";"folks";"";""
"7";"following";"";""
"7";"goes";"";""
"7";"Happy";"";""
"7";"high";"";""
"7";"issues";"";""
"7";"kudos";"";""
"7";"lady";"";""
"7";"live";"";""
"7";"looking";"";""
"7";"loved";"";""
"7";"LUV";"";""
"7";"min";"";""
"7";"mind";"";""
"7";"onboard";"";""
"7";"Orlando";"";""
"7";"passengers";"";""
"7";"person";"";""
"7";"prompt";"";""
"7";"put";"";""
"7";"reason";"";""
"7";"reFlight";"";""
"7";"ride";"";""
"7";"safe";"";""
"7";"safety";"";""
"7";"snacks";"";""
"7";"social";"";""
"7";"someone";"";""
"7";"something";"";""
"7";"southwest";"";""
"7";"support";"";""
"7";"twitter";"";""
"7";"via";"";""
"7";"win";"";""
"7";"worked";"";""
"7";"works";"";""
"7";"world";"";""
"6";"americanair";"";""
"6";"arrived";"";""
"6";"Big";"";""
"6";"claim";"";""
"6";"Class";"";""
"6";"cold";"";""
"6";"come";"";""
"6";"company";"";""
"6";"crossed";"";""
"6";"departure";"";""
"6";"desk";"";""
"6";"enough";"";""
"6";"EWR";"";""
"6";"fast";"";""
"6";"fault";"";""
"6";"feel";"";""
"6";"find";"";""
"6";"First";"";""
"6";"Flightlations";"";""
"6";"flown";"";""
"6";"Friendly";"";""
"6";"hold";"";""
"6";"hours";"";""
"6";"inflight";"";""
"6";"landed";"";""
"6";"listening";"";""
"6";"luv";"";""
"6";"Made";"";""
"6";"Makes";"";""
"6";"man";"";""
"6";"MCO";"";""
"6";"media";"";""
"6";"might";"";""
"6";"Mint";"";""
"6";"missed";"";""
"6";"Never";"";""
"6";"okay";"";""
"6";"part";"";""
"6";"Passbook";"";""
"6";"PHX";"";""
"6";"pleasant";"";""
"6";"ready";"";""
"6";"rebooked";"";""
"6";"return";"";""
"6";"rocks";"";""
"6";"seen";"";""
"6";"send";"";""
"6";"set";"";""
"6";"shout";"";""
"6";"situation";"";""
"6";"sweet";"";""
"6";"Terry";"";""
"6";"totally";"";""
"6";"tried";"";""
"6";"video";"";""
"6";"virginamerica";"";""
"6";"went";"";""
"6";"Wow";"";""
"6";"â€œ@AmericanAir";"";""
"5";"add";"";""
"5";"adding";"";""
"5";"ahead";"";""
"5";"Amazing";"";""
"5";"anyway";"";""
"5";"around";"";""
"5";"Atlanta";"";""
"5";"bird";"";""
"5";"Bluemanity";"";""
"5";"Btw";"";""
"5";"BWI";"";""
"5";"cabin";"";""
"5";"center";"";""
"5";"Charlotte";"";""
"5";"checked";"";""
"5";"Cheers";"";""
"5";"comfortable";"";""
"5";"Congrats";"";""
"5";"connecting";"";""
"5";"credit";"";""
"5";"Customer";"";""
"5";"customers";"";""
"5";"deals";"";""
"5";"delivered";"";""
"5";"DEN";"";""
"5";"email";"";""
"5";"end";"";""
"5";"eventually";"";""
"5";"exactly";"";""
"5";"extra";"";""
"5";"fix";"";""
"5";"Flighted";"";""
"5";"flyfi";"";""
"5";"food";"";""
"5";"future";"";""
"5";"gets";"";""
"5";"giving";"";""
"5";"Haha";"";""
"5";"handled";"";""
"5";"Hey";"";""
"5";"Hope";"";""
"5";"Iâ";"";""
"5";"jet";"";""
"5";"JetBlue's";"";""
"5";"least";"";""
"5";"loyal";"";""
"5";"luck";"";""
"5";"may";"";""
"5";"mine";"";""
"5";"missing";"";""
"5";"month";"";""
"5";"move";"";""
"5";"Nashville";"";""
"5";"note";"";""
"5";"Now";"";""
"5";"One";"";""
"5";"open";"";""
"5";"passbook";"";""
"5";"PLEASE;)ðŸ";"";""
"5";"professional";"";""
"5";"PVD";"";""
"5";"responding";"";""
"5";"route";"";""
"5";"run";"";""
"5";"Seattle";"";""
"5";"second";"";""
"5";"sending";"";""
"5";"share";"";""
"5";"sharing";"";""
"5";"site";"";""
"5";"sitting";"";""
"5";"skies";"";""
"5";"status";"";""
"5";"talking";"";""
"5";"tea";"";""
"5";"tell";"";""
"5";"thankyou";"";""
"5";"together";"";""
"5";"touch";"";""
"5";"understand";"";""
"5";"Virgin";"";""
"5";"wife";"";""
"5";"yesterday";"";""
"5";"ºï";"";""
"5";"â­ï";"";""
"4";"747's";"";""
"4";"absolute";"";""
"4";"access";"";""
"4";"added";"";""
"4";"Air";"";""
"4";"Airline";"";""
"4";"Already";"";""
"4";"Also";"";""
"4";"anyone";"";""
"4";"anything";"";""
"4";"April";"";""
"4";"area";"";""
"4";"ATL";"";""
"4";"AUS";"";""
"4";"available";"";""
"4";"award";"";""
"4";"Aww";"";""
"4";"Beach";"";""
"4";"become";"";""
"4";"bestairline";"";""
"4";"boarded";"";""
"4";"boss";"";""
"4";"bringing";"";""
"4";"brought";"";""
"4";"captain";"";""
"4";"catch";"";""
"4";"Cessna's";"";""
"4";"chance";"";""
"4";"changes";"";""
"4";"charge";"";""
"4";"coffee";"";""
"4";"commercial";"";""
"4";"connections";"";""
"4";"Cool";"";""
"4";"country";"";""
"4";"couple";"";""
"4";"dancing";"";""
"4";"daughter";"";""
"4";"deal";"";""
"4";"dealing";"";""
"4";"destination";"";""
"4";"details";"";""
"4";"dfwairport";"";""
"4";"efforts";"";""
"4";"employee";"";""
"4";"Enjoy";"";""
"4";"evening";"";""
"4";"example";"";""
"4";"Excited";"";""
"4";"extremely";"";""
"4";"eyes";"";""
"4";"fares";"";""
"4";"faster";"";""
"4";"Finally";"";""
"4";"Fingers";"";""
"4";"five";"";""
"4";"Flightr";"";""
"4";"Flying";"";""
"4";"followed";"";""
"4";"form";"";""
"4";"Friday";"";""
"4";"friendly";"";""
"4";"frustrated";"";""
"4";"funny";"";""
"4";"hopefully";"";""
"4";"Hopefully";"";""
"4";"hotel";"";""
"4";"Houston";"";""
"4";"impressed";"";""
"4";"incredible";"";""
"4";"informed";"";""
"4";"instead";"";""
